kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,planet,planet_label
10797460,K00752.01,Kepler-227 b,CONFIRMED,9.48803557,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,2,142.0,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,1,confirmed
10797460,K00752.02,Kepler-227 c,CONFIRMED,54.4183827,0.586,4.507,874.8,2.83,443.0,9.11,25.8,2,25.0,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,1,confirmed
10811496,K00753.01,,CANDIDATE,19.89913995,0.969,1.7822,10829.0,14.6,638.0,39.3,76.3,1,56.0,5853.0,4.544,-0.18,0.868,0.961,297.00482,48.134129,15.436,0,candidate
10854555,K00755.01,Kepler-664 b,CONFIRMED,2.525591777,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,1,515.0,6031.0,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509,1,confirmed
10872983,K00756.01,Kepler-228 d,CONFIRMED,11.09432054,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,3,95.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,1,confirmed
10872983,K00756.02,Kepler-228 c,CONFIRMED,4.13443512,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,3,240.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,1,confirmed
10872983,K00756.03,Kepler-228 b,CONFIRMED,2.56658897,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,3,355.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,1,confirmed
10910878,K00757.01,Kepler-229 c,CONFIRMED,16.06864674,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,3,69.0,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,1,confirmed
11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,0.818,1.74319,14230.9,13.04,1339.0,761.46,4304.3,1,432.0,5820.0,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338,1,confirmed
10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,1,611.0,6440.0,4.019,0.14,1.952,1.449,292.24728,47.969521,10.463,1,confirmed
6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,1,384.0,6225.0,4.169,-0.04,1.451,1.132,281.28812,42.45108,13.563,1,confirmed
10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,2,352.0,5833.0,4.407,-0.04,1.022,0.974,295.64871,48.49556,12.772,1,confirmed
10526549,K00746.01,Kepler-660 b,CONFIRMED,9.27358173,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,1,144.0,4856.0,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302,1,confirmed
10583066,K00747.01,Kepler-661 b,CONFIRMED,6.02930329,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,1,215.0,4537.0,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784,1,confirmed
10601284,K00749.01,Kepler-226 c,CONFIRMED,5.349553819,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,3,247.0,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,1,confirmed
10601284,K00749.02,Kepler-226 b,CONFIRMED,3.94105221,0.226,2.5984,363.3,1.7,1018.0,253.15,28.9,3,322.0,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,1,confirmed
10601284,K00749.03,Kepler-226 d,CONFIRMED,8.10904807,0.025,3.596,217.4,1.3,800.0,97.03,14.1,3,141.0,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416,1,confirmed
10662202,K00750.01,Kepler-662 b,CONFIRMED,21.67699193,0.896,3.4555,857.2,2.95,530.0,18.64,34.3,4,62.0,4954.0,4.5,0.18,0.828,0.791,290.46512,47.92918,15.377,1,confirmed
10682541,K00751.01,Kepler-663 b,CONFIRMED,4.99677968,0.71,2.1717,934.7,2.78,917.0,166.95,28.2,1,208.0,5339.0,4.552,0.18,0.847,0.931,297.80826,47.946671,15.861,1,confirmed
11460018,K00769.01,Kepler-671 b,CONFIRMED,4.280963604,0.424,2.875,750.8,2.3,1012.0,247.87,61.8,1,311.0,5644.0,4.564,-0.14,0.831,0.928,294.26581,49.314091,15.356,1,confirmed
11507101,K00773.01,Kepler-672 b,CONFIRMED,38.3775486,0.468,5.588,724.2,2.82,529.0,18.53,34.7,1,37.0,5481.0,4.369,0.16,1.036,0.915,291.72202,49.480869,15.172,1,confirmed
10910878,K00757.02,Kepler-229 d,CONFIRMED,41.19725502,0.045,4.6297,2213.9,3.86,439.0,8.76,51.2,3,26.0,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,1,confirmed
10910878,K00757.03,Kepler-229 b,CONFIRMED,6.252962249,0.105,2.5819,1036.9,2.65,823.0,108.3,47.1,3,167.0,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,1,confirmed
10987985,K00758.01,Kepler-665 b,CONFIRMED,16.01308419,0.799,3.2554,1121.9,3.1,593.0,29.31,33.2,1,65.0,5015.0,4.499,0.1,0.826,0.785,297.02563,48.478588,15.39,1,confirmed
11018648,K00759.01,Kepler-230 b,CONFIRMED,32.62876672,0.021,4.7971,1804.8,3.36,506.0,15.55,80.0,2,34.0,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,1,confirmed
11018648,K00759.02,Kepler-230 c,CONFIRMED,91.7732862,0.606,6.473,652.0,2.12,359.0,3.92,19.1,2,11.0,5586.0,4.56,-0.3,0.798,0.844,285.71854,48.505859,15.082,1,confirmed
11138155,K00760.01,Kepler-1976 b,CONFIRMED,4.959319244,0.831,2.22739,9802.0,12.21,1103.0,349.4,696.5,1,269.0,5712.0,4.359,0.1,1.082,0.976,292.16705,48.727589,15.263,1,confirmed
11153539,K00762.01,Kepler-666 b,CONFIRMED,4.49876511,0.312,3.7362,460.0,2.1,1133.0,389.62,29.5,1,238.0,6075.0,4.486,-0.12,0.969,1.048,298.45685,48.791592,15.395,1,confirmed
9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412203927,0.787,2.9472,601.6,2.94,1093.0,337.68,166.7,3,244.0,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,1,confirmed
11304958,K00764.01,Kepler-667 b,CONFIRMED,41.43958662,0.355,10.5989,2793.1,5.5,516.0,16.72,141.1,1,33.0,5468.0,4.367,0.22,1.046,0.93,295.55505,49.017342,15.4,1,confirmed
11391957,K00765.01,Kepler-668 b,CONFIRMED,8.35389523,0.023,2.2514,1041.6,2.52,790.0,91.9,43.4,1,127.0,5592.0,4.582,-0.28,0.787,0.862,285.49924,49.277351,15.317,1,confirmed
11403044,K00766.01,Kepler-669 b,CONFIRMED,4.125543472,0.597,3.1744,1487.3,4.43,1243.0,565.35,128.6,1,323.0,6174.0,4.417,0.1,1.103,1.162,291.93616,49.253979,15.506,1,confirmed
11414511,K00767.01,Kepler-670 b,CONFIRMED,2.816504904,0.105,2.50587,16813.7,12.21,1219.0,521.13,1406.8,1,474.0,5532.0,4.452,0.14,0.955,0.941,297.01547,49.225288,15.052,1,confirmed
12110942,K00786.01,Kepler-680 b,CONFIRMED,3.689920099,0.151,2.6557,426.7,1.89,1147.0,408.99,35.6,1,360.0,5880.0,4.518,-0.06,0.917,1.01,291.62241,50.61824,15.242,1,confirmed
12366084,K00787.01,Kepler-232 b,CONFIRMED,4.431238488,0.405,3.15,1010.9,3.25,1104.0,351.23,71.1,3,302.0,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,1,confirmed
12366084,K00787.02,Kepler-232 c,CONFIRMED,11.37936986,0.911,2.6255,1023.5,3.95,806.0,99.68,37.9,3,109.0,5714.0,4.428,0.16,1.015,1.007,295.81616,51.121738,15.367,1,confirmed
12404086,K00788.01,Kepler-681 b,CONFIRMED,26.39432897,0.602,3.573,1510.9,3.07,489.0,13.49,48.2,1,51.0,5129.0,4.595,0.02,0.763,0.846,289.39972,51.25032,15.234,1,confirmed
8395660,K00116.01,Kepler-106 c,CONFIRMED,13.57078281,0.866,3.3539,511.7,2.64,785.0,89.61,88.4,4,101.0,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,1,confirmed
9579641,K00115.02,Kepler-105 c,CONFIRMED,7.12594387,0.898,3.0014,192.4,1.79,997.0,233.31,47.1,3,181.0,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,1,confirmed
11754553,K00775.01,Kepler-52 c,CONFIRMED,16.38489988,0.001,3.0249,1127.1,2.0,433.0,8.35,28.9,3,65.0,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,1,confirmed
11754553,K00775.02,Kepler-52 b,CONFIRMED,7.8774163,0.041,2.0805,1306.1,2.16,553.0,22.18,38.7,3,135.0,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,1,confirmed
11754553,K00775.03,Kepler-52 d,CONFIRMED,36.4454001,0.028,4.007,1122.3,1.99,332.0,2.88,21.7,3,27.0,4126.0,4.661,0.04,0.615,0.633,286.73804,49.97575,15.095,1,confirmed
11812062,K00776.01,Kepler-673 b,CONFIRMED,3.728732147,0.558,2.683,5226.5,6.02,1023.0,258.34,345.2,1,357.0,5497.0,4.577,-0.1,0.809,0.907,290.78574,50.054119,15.523,1,confirmed
11818800,K00777.01,,CANDIDATE,40.4195037,0.911,3.362,6256.0,7.51,467.0,11.29,36.9,1,36.0,5446.0,4.507,-0.54,0.781,0.714,294.31686,50.080231,15.487,0,candidate
11853255,K00778.01,Kepler-674 b,CONFIRMED,2.243380573,0.915,1.1196,821.7,1.99,822.0,107.6,38.9,1,472.0,4149.0,4.698,-0.32,0.564,0.578,285.17621,50.149818,15.135,1,confirmed
11918099,K00780.01,Kepler-675 b,CONFIRMED,2.337437946,0.28,1.9982,971.2,2.34,1070.0,311.16,82.4,2,578.0,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,1,confirmed
11918099,K00780.02,,CANDIDATE,7.2406612,1.198,0.558,556.4,19.45,734.0,68.63,13.7,2,168.0,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334,0,candidate
9579641,K00115.03,,CANDIDATE,3.43591631,0.624,3.133,23.2,0.55,1272.0,617.61,8.7,3,357.0,5779.0,4.339,-0.06,1.087,0.941,287.88733,46.276241,12.791,0,candidate
11923270,K00781.01,Kepler-676 b,CONFIRMED,11.59822233,0.679,2.5237,2804.5,2.65,396.0,5.82,71.0,1,115.0,3688.0,4.79,0.0,0.473,0.503,296.22195,50.28722,15.937,1,confirmed
11960862,K00782.01,Kepler-677 b,CONFIRMED,6.575315881,0.39,4.3084,2793.3,5.31,1015.0,251.38,221.1,1,205.0,5992.0,4.415,-0.32,0.989,0.927,290.09805,50.321609,15.312,1,confirmed
12020329,K00783.01,Kepler-678 b,CONFIRMED,7.275040844,0.547,7.5377,3001.0,4.86,833.0,113.64,312.1,1,188.0,5485.0,4.556,0.21,0.867,0.986,295.45529,50.49456,15.08,1,confirmed
12066335,K00784.01,Kepler-231 c,CONFIRMED,19.27153892,0.031,2.7594,1219.8,1.93,393.0,5.66,37.1,2,67.0,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,1,confirmed
12066335,K00784.02,Kepler-231 b,CONFIRMED,10.06524317,0.628,1.369,1053.3,1.91,488.0,13.43,30.3,2,126.0,4077.0,4.702,-0.24,0.56,0.576,293.97336,50.53191,15.385,1,confirmed
12070811,K00785.01,Kepler-679 b,CONFIRMED,12.3935651,0.883,3.8896,916.6,2.66,677.0,49.68,35.8,1,107.0,5557.0,4.603,-0.4,0.75,0.832,296.02133,50.56778,15.505,1,confirmed
8395660,K00116.02,Kepler-106 e,CONFIRMED,43.84439721,0.852,6.802,615.2,2.87,531.0,18.77,83.7,4,29.0,5854.0,4.406,-0.12,1.012,0.951,300.86398,44.337551,12.882,1,confirmed
3342970,K00800.01,Kepler-234 b,CONFIRMED,2.711504086,0.023,3.0099,837.5,3.12,1420.0,960.79,64.5,2,494.0,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,1,confirmed
3342970,K00800.02,Kepler-234 c,CONFIRMED,7.21203748,0.012,4.0491,950.4,3.32,1025.0,260.58,51.5,2,165.0,6214.0,4.442,0.07,1.076,1.169,291.65353,38.494659,15.541,1,confirmed
12470844,K00790.01,Kepler-233 b,CONFIRMED,8.47237911,0.022,2.7245,1123.5,2.59,751.0,75.44,47.6,2,159.0,5354.0,4.587,-0.08,0.788,0.884,296.36652,51.319519,15.339,1,confirmed
