kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag
10797460,K00752.01,Kepler-227 b,CONFIRMED,9.48803557,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,2,142.0,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347
10797460,K00752.02,Kepler-227 c,CONFIRMED,54.4183827,0.586,4.507,874.8,2.83,443.0,9.11,25.8,2,25.0,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347
10811496,K00753.01,,CANDIDATE,19.89913995,0.969,1.7822,10829.0,14.6,638.0,39.3,76.3,1,56.0,5853.0,4.544,-0.18,0.868,0.961,297.00482,48.134129,15.436
10848459,K00754.01,,FALSE POSITIVE,1.736952453,1.276,2.40641,8079.2,33.46,1395.0,891.96,505.6,1,621.0,5805.0,4.564,-0.52,0.791,0.836,285.53461,48.28521,15.597
10854555,K00755.01,Kepler-664 b,CONFIRMED,2.525591777,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,1,515.0,6031.0,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509
10872983,K00756.01,Kepler-228 d,CONFIRMED,11.09432054,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,3,95.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714
10872983,K00756.02,Kepler-228 c,CONFIRMED,4.13443512,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,3,240.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714
10872983,K00756.03,Kepler-228 b,CONFIRMED,2.56658897,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,3,355.0,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714
6721123,K00114.01,,FALSE POSITIVE,7.36178958,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,1,185.0,6227.0,3.986,0.0,1.958,1.358,298.86435,42.151569,12.66
10910878,K00757.01,Kepler-229 c,CONFIRMED,16.06864674,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,3,69.0,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841
11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,0.818,1.74319,14230.9,13.04,1339.0,761.46,4304.3,1,432.0,5820.0,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,0.224,3.88864,6674.7,16.1,2048.0,4148.92,5945.9,1,611.0,6440.0,4.019,0.14,1.952,1.449,292.24728,47.969521,10.463
6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,0.631,3.19843,9145.7,14.59,1521.0,1264.67,1741.5,1,384.0,6225.0,4.169,-0.04,1.451,1.132,281.28812,42.45108,13.563
10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,0.051,2.6302,131.1,1.16,1206.0,500.46,50.6,2,352.0,5833.0,4.407,-0.04,1.022,0.974,295.64871,48.49556,12.772
10419211,K00742.01,,FALSE POSITIVE,11.521446064,2.483,3.6399,17984.3,150.51,753.0,75.88,622.1,1,96.0,5795.0,4.554,-0.2,0.848,0.938,297.07993,47.597401,15.472
10464078,K00743.01,,FALSE POSITIVE,19.40393776,0.804,12.2155,8918.7,7.18,523.0,17.69,214.7,1,71.0,5043.0,4.591,-0.54,0.68,0.657,289.25821,47.635319,15.487
10480982,K00744.01,,FALSE POSITIVE,19.221388942,1.065,4.79843,74284.0,49.29,698.0,55.97,2317.0,2,55.0,6117.0,4.496,-0.22,0.947,1.025,295.81454,47.69035,15.341
10485250,K00745.01,,FALSE POSITIVE,16.46983774,0.292,9.4378,10478.9,7.94,595.0,29.61,303.4,1,66.0,5152.0,4.517,-0.2,0.786,0.741,297.15442,47.668701,15.788
10526549,K00746.01,Kepler-660 b,CONFIRMED,9.27358173,0.387,3.2875,1288.3,2.47,649.0,41.85,87.2,1,144.0,4856.0,4.583,-0.3,0.696,0.676,288.13824,47.724449,15.302
10583066,K00747.01,Kepler-661 b,CONFIRMED,6.02930329,0.258,1.5821,1912.7,2.85,678.0,50.04,65.4,1,215.0,4537.0,4.648,0.21,0.672,0.761,283.71088,47.86327,15.784
10583180,K00748.01,,FALSE POSITIVE,2.696370652,0.044,3.6129,397.9,1.58,1066.0,305.34,48.2,1,501.0,4989.0,4.504,0.1,0.819,0.781,283.76547,47.804298,15.269
10601284,K00749.01,Kepler-226 c,CONFIRMED,5.349553819,0.092,3.0278,831.0,2.55,919.0,168.99,60.6,3,247.0,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416
10601284,K00749.02,Kepler-226 b,CONFIRMED,3.94105221,0.226,2.5984,363.3,1.7,1018.0,253.15,28.9,3,322.0,5185.0,4.44,0.16,0.91,0.831,292.37613,47.880989,15.416
